titulo_normalizado,id_hash,arquivo_origem,eh_principal_escolhido,confianca_metadados,motivo
escola nacional de administracao publica,7fab1962cb96313b24440a3f40a97dc143e836b4d202795d19605af121b46c4c,7fab1962cb96313b24440a3f40a97dc143e836b4d202795d19605af121b46c4c.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,81e5a88e5adc54167af22f7d03cf45c12b0c0256462d258eca0d70bf23e0a34d,81e5a88e5adc54167af22f7d03cf45c12b0c0256462d258eca0d70bf23e0a34d.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,88b16bb9fd2a2752944a46ac039ddd675a43bd742aa320e46a7355fa7e96c9e7,88b16bb9fd2a2752944a46ac039ddd675a43bd742aa320e46a7355fa7e96c9e7.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,8a1b7e998c3e809299fe92ee14fe5ebdced0d6501561b2242f0c62675324f570,8a1b7e998c3e809299fe92ee14fe5ebdced0d6501561b2242f0c62675324f570.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,9096f8a8f32088ea630d62e3ee23c84e4a0b99a76980ccb108a75f38246fd12c,9096f8a8f32088ea630d62e3ee23c84e4a0b99a76980ccb108a75f38246fd12c.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,90adc2d5ac5fe1b03fe9e5bf7d3d6dcad757b5f0430bdcf5f75806f9afffc873,90adc2d5ac5fe1b03fe9e5bf7d3d6dcad757b5f0430bdcf5f75806f9afffc873.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,90d31277dddc1a85df775626299c8769db2ee9144dbfca707087bc2762fcc837,90d31277dddc1a85df775626299c8769db2ee9144dbfca707087bc2762fcc837.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,97e1a6b0eef079975a6a280d1732b6c8182756195d0e0de520af17baed8b8ed5,97e1a6b0eef079975a6a280d1732b6c8182756195d0e0de520af17baed8b8ed5.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,989f8232816562f3c01ed26e466765fad793771f2c9ff391728d9084b80f2409,989f8232816562f3c01ed26e466765fad793771f2c9ff391728d9084b80f2409.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,995444a3694fc913c77a5fb643302ed55a118cc0ece5444340fd6d92616aa059,995444a3694fc913c77a5fb643302ed55a118cc0ece5444340fd6d92616aa059.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,99d8e2cb72a9f48978946e5da2be9e35bd038c8de5123b99ef29c03e8d293a62,99d8e2cb72a9f48978946e5da2be9e35bd038c8de5123b99ef29c03e8d293a62.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,9a8ed8af93e428ab86d06160ed738cc693c9488b79f33211af85309c8afb3cb9,9a8ed8af93e428ab86d06160ed738cc693c9488b79f33211af85309c8afb3cb9.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,9c62ac7886e079538199820445528ad5460c2e149209445dc1d6efe3d700c4c2,9c62ac7886e079538199820445528ad5460c2e149209445dc1d6efe3d700c4c2.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,9e133154e3879de0d06301f6323cf4d8aa4bc4bb111562d6ec787914944c43d2,9e133154e3879de0d06301f6323cf4d8aa4bc4bb111562d6ec787914944c43d2.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,a7aa02dd20572c1154a349b99e1bcedc94b7f93f5616626b08d760497ec56e94,a7aa02dd20572c1154a349b99e1bcedc94b7f93f5616626b08d760497ec56e94.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,af8d719570a7cf261cbb62603b8279cfbdbb85e45b80895e4e181e88a7decb5b,af8d719570a7cf261cbb62603b8279cfbdbb85e45b80895e4e181e88a7decb5b.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,b3066c60abbc4119f882936d706c29e1218724673d55a48a441bbe375e370e77,b3066c60abbc4119f882936d706c29e1218724673d55a48a441bbe375e370e77.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,b583a7e7da9b7822100ac28e39adf4839d370ba43bdbaea898326b162c86f769,b583a7e7da9b7822100ac28e39adf4839d370ba43bdbaea898326b162c86f769.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,ba665f2c7a4f8023e49a23aa1a427d15f0086f0343510423274451916c454049,ba665f2c7a4f8023e49a23aa1a427d15f0086f0343510423274451916c454049.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,c76388a86350a27fed403fba5c22af8bc1b736a6907bcfa89d70fe184ef1bbeb,c76388a86350a27fed403fba5c22af8bc1b736a6907bcfa89d70fe184ef1bbeb.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
escola nacional de administracao publica,cb20976b2aceb4a847012738c4d764e49484dd62b89f28686280fd237e163ce8,cb20976b2aceb4a847012738c4d764e49484dd62b89f28686280fd237e163ce8.pdf,False,media,grupo_suspeito_tamanho_70_nao_removido_automaticamente
